filename,job_name,runner_os,matrix_size,step_count,uses_action_count,has_services,repo_name,commit_sha
auto-assign-issues.yml,auto-assign,linux,1,1,1,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
auto-assign.yml,add-reviews,linux,1,1,1,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
label-feature.yml,build,linux,1,1,1,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
label-support.yml,build,linux,1,1,1,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
labeler-triage.yml,triage,linux,1,1,1,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
lint.yaml,pre-commit,linux,1,5,3,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
stale.yml,stale,linux,1,1,1,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
sync-ghes.yaml,sync,linux,1,6,2,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
validate-data.yaml,validate-data,linux,1,3,2,0,actions/starter-workflows,6c9f4c40300ab9efd6ea86fef113d876c545c5e8
auto-assign-issues.yml,auto-assign,linux,1,1,1,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
auto-assign.yml,add-reviews,linux,1,1,1,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
label-feature.yml,build,linux,1,1,1,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
label-support.yml,build,linux,1,1,1,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
labeler-triage.yml,triage,linux,1,1,1,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
lint.yaml,pre-commit,linux,1,5,3,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
stale.yml,stale,linux,1,1,1,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
sync-ghes.yaml,sync,linux,1,6,2,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
validate-data.yaml,validate-data,linux,1,3,2,0,actions/starter-workflows,26023c775fde0e179a6004a17879fa4bc2335f3d
auto-assign-issues.yml,auto-assign,linux,1,1,1,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
auto-assign.yml,add-reviews,linux,1,1,1,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
label-feature.yml,build,linux,1,1,1,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
label-support.yml,build,linux,1,1,1,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
labeler-triage.yml,triage,linux,1,1,1,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
lint.yaml,pre-commit,linux,1,5,3,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
stale.yml,stale,linux,1,1,1,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
sync-ghes.yaml,sync,linux,1,6,2,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
validate-data.yaml,validate-data,linux,1,3,2,0,actions/starter-workflows,79f3b3149c9657e9e4a6f94ed58e8a7f2e094c47
auto-assign-issues.yml,auto-assign,linux,1,1,1,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
auto-assign.yml,add-reviews,linux,1,1,1,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
label-feature.yml,build,linux,1,1,1,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
label-support.yml,build,linux,1,1,1,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
labeler-triage.yml,triage,linux,1,1,1,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
lint.yaml,pre-commit,linux,1,5,3,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
stale.yml,stale,linux,1,1,1,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
sync-ghes.yaml,sync,linux,1,6,2,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
validate-data.yaml,validate-data,linux,1,3,2,0,actions/starter-workflows,dbbf10c54ecdc05e798fe64fad8062290713857d
auto-assign-issues.yml,auto-assign,linux,1,1,1,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
auto-assign.yml,add-reviews,linux,1,1,1,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
label-feature.yml,build,linux,1,1,1,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
label-support.yml,build,linux,1,1,1,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
labeler-triage.yml,triage,linux,1,1,1,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
lint.yaml,pre-commit,linux,1,5,3,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
stale.yml,stale,linux,1,1,1,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
sync-ghes.yaml,sync,linux,1,6,2,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
validate-data.yaml,validate-data,linux,1,3,2,0,actions/starter-workflows,ab2a8c271653b97d4f340677a0a431e0e7a7c4b9
auto-assign-issues.yml,auto-assign,linux,1,1,1,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
auto-assign.yml,add-reviews,linux,1,1,1,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
label-feature.yml,build,linux,1,1,1,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
label-support.yml,build,linux,1,1,1,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
labeler-triage.yml,triage,linux,1,1,1,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
lint.yaml,pre-commit,linux,1,5,3,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
stale.yml,stale,linux,1,1,1,0,actions/starter-workflows,a639a75774349ead46048cbb8f1804e53675cc26
